Title,Article,Category
"PM Dahal to take part in NAM Summit, leaving for Uganda on Jan 18","Kathmandu, January 15 Prime Minister Pushpa Kamal Dahal will be leaving for Kampala, in the Republic of Uganda, on January 18, leading a Nepali delegation to the 19th Summit of Heads of State and Government of the Non-Aligned Movement (NAM Summit).  The NAM Summit is being held in Kampala on January 19-20. The Prime Minister will be accompanied by his daughter Ganga Dahal. The Nepali delegation includes Minister for Foreign Affairs Narayan Prakash Saud, Foreign Secretary Sewa Lamsal and senior government officials, according to the Ministry of Foreign Affairs. The Prime Minister is scheduled to address the plenary session of the Summit on the theme ‘Deepening Cooperation for Shared Global Affluence’ on 19 January. On the same day, he will attend the state banquet hosted by the President of the Republic of Uganda, Gen. Yoweri Kaguta Museveni, in honour of the heads of the delegation of NAM Member States. In the margins of the Summit, the Prime Minister will have bilateral meetings with heads of state, heads of government and other high dignitaries attending the Summit. The NAM Summit will be preceded by the Ministerial Meeting on January 17 and 18. Foreign Minister Saud will leave Kathmandu on January 16, leading a Nepali delegation to the Ministerial meeting of the Summit.  The Ministerial Meeting will be preceded by the Senior Officials Meeting on January 15 and 16. The Summit will consider the report of the Preparatory Ministerial Meeting, review the progress achieved in the implementation of the outcomes of the 18th Summit held in 2019, and conclude with the adoption of the Kampala Declaration. Nepal is a founding member of the Non-Aligned Movement and has been actively participating in all NAM Summits since its inception. Principles of non-alignment constitute one of the basic tenets of Nepal’s foreign policy. The Prime Minister will arrive in Kathmandu on January 21. After the 19th NAM Summit, the Third South Summit is being held from 21 to 22 January in Kampala. Foreign Secretary Lamsal will lead the Nepali delegation to the South Summit.",political
Code of conduct for NA Election to come into effect from tomorrow,"Kathmandu, January 15 The  Election Commission  (EC) has decided to enforce the election code of conduct from January 16 for the forthcoming National Assembly election. The EC issued a press release informing that Section 1 of the Election Code of Conduct, 2079, and Section 22 of the Election Commission Act would be effective for all citizens, agencies and officials from January 16 to 26. The election of the members of the  National Assembly is being held for 19 seats on January 25 . According to the code of conduct, any public resource and property can not be used for or against any election candidate; distortion of election-related content and information is not allowed; and government schools or publications can not be used as spaces for electioneering. Similarly, production, sale, distribution and publicity of anything bearing election symbols of any party/candidate or party logos are not allowed by the code. Other prohibitions as per election law are – the use of children, publicity of election by assassinating character of women, senior citizens, disabled people and community of sexual and gender minorities; conduct of kind of procession, general assembly, corner meeting, meetings and election promotional activities in the prohibited time and areas; spread of false, misleading or malicious information in social media, hate-speech, insult to other candidates among others intended at influencing the election. Since the enforcement of the election code of conduct, violation of confidentiality of the voters and indulgence in disputes with the voters or election staff deployed in the polling stations are not allowed. Any actions or activities that sully the impartiality and fairness of the election are prohibited. Ministers in federal and provincial governments, and office bearers of the public offices who are involved in the election campaign to obtain permission from the commission are restricted from using government resources. They are also made aware of the silence period.",political
"National Assembly candidates can spend up to Rs 350,000 as election expense","Kathmandu, January Candidates for  National Assembly  members can spend up to Rs 350,000 as election expenditure. The  Election Commission  has fixed the election expenses of the candidates for the elections on Sunday. According to the commission, a total of Rs 350,000 can be spent on the purchase of voting lists, vehicles and fuel, campaign materials, conferences, and the operation of the publicity office. Candidates will have to open an account in a bank and make payments from it. And, the Election Commission has also requested the candidates to submit the details to the Commission within 30 days after the election. Elections for 19 seats in the  National Assembly will be held on January 25 .",political
Resham Chaudhary elected president of Nagarik Unmukti Party,"Kathmandu, January 12 Resham Chaudhary has been elected unopposed as the president of the  Nagarik Unmukti Party . In the general convention held in Tikapur, Chaudhary was the only candidate for the position of president.  The election committee said that since only Chaudhary’s nomination was submitted, he was elected unopposed. Chaudhary started a party while he was in prison serving a life sentence for his role in the 2015 Tikapur incident. The party was formed under the leadership of his wife Ranjita Shrestha. The general convention also elected Damodar Pandit as senior vice president and Tikalakshmi Chaudhary as the party’s treasurer.  Chaudhary was  given a presidential pardon  on the occasion of Republic Day.",political
Purushottam Khanal resigns as NTA chair amidst criticism,"Kathmandu, January 9 The chair of  Nepal Telecommunication Authority , Purushottam Khanal, has handed in his resignation. He tendered his resignation at the Ministry of Communication and Information Technology on Tuesday morning. Questions have been raised regarding alleged irregularities in the procurement of systems like Mobile Device Management System (MDMS) and Teramox during his tenure.  His resignation comes amid criticism that the leadership of the authority was not effectively addressing issues such as the cancellation process of Smart Cell, as well as the purchase and  sale of Ncell shares , including tax collection from internet service providers. Purushottam Khanal took office on July 25, 2019. Even though his tenure was ending in July, Khanal resigned amid his involvement in various cases and being subjected to investigation by the Commission for the Investigation of Abuse of Authority.",political
52 set sights on 19 National Assembly seats,"Kathmandu, January 9 A total of 52 candidates have filed their nomination papers for the 19  National Assembly elections  scheduled to be held on January 25. The nominations were filed on Monday for various categories in the respective election offices of the seven provinces.  On Monday, 52 candidates submitted their nominations across seven provinces. This group comprises 17 candidates in the women’s category, six in the Dalit category, eight from persons with disabilities or minority communities, and 21 from other groups, as reported by the  Election Commission . The spokesperson of the Commission, Shaligram Sharma Paudyal, said that the nomination papers of the candidates were registered at the office of the Election Officer established in all seven provinces from 10 am to 3 pm on Monday. In Koshi and Madhes provinces, five candidates each have submitted their nominations. In Bagmati province, 15 candidates have registered, while eight have done so in Gandaki, seven in Lumbini province, and six each in Karnali and Sudurpaschim provinces. According to the election calendar announced by the Commission, complaints against the candidates can be registered on Tuesday, the nomination papers and complaints received will be reviewed and the list of candidates will be published on January 10 and 11, candidates will able to withdraw their names on January 12 and the final list will be published, and election symbols distributed to the candidates on January 13.",political
Attorney General asked not to take former minister Khand’s case to the Supreme Court,"Kathmandu, January 8 Political pressure has increased on  the office of the Attorney General  not to file a petition against former Home Minister Bal Krishna Khand in the Supreme Court. Due to the pressure, the Attorney General’s Office has not submitted an application to the Supreme Court against the order of the  Patan High Court to release Khand on a bail of Rs 3 million. If the Attorney General’s Office submits a petition to the  Supreme Court  against the High Court’s order, there is a possibility that Khand will be imprisoned again if the hearing is held. If the Attorney General’s Office does not go to the Supreme Court against the High Court’s order, the former home minister Khand will be able to stay out of jail until the  fake Bhutanese refugee scam  is resolved. “Prime Minister Pushpa Kamal Dahal has requested not to go to the Supreme Court against Khand as there is a lot of pressure from the top leadership of the Nepali Congress, so all the processes have been stopped,” a source who remained anonymous in the Attorney General’s Office told Online Khabar. A case was filed against the politicians and employees involved in the fake refugee case in Kathmandu district court last May on charges of doing things against the national interest, fraud and organised crime. On June 16, 2023, Judge Prem Prasad Neupane ordered 16 people who were accused would be imprisoned and two should be released on bail. During that time, Balkrishna Khand was also imprisoned. It was said in the order, “Based on current evidence, it does not appear that these defendants are currently not guilty.”",political
"National Assembly election: 549 voters from province assemblies, 1,498 from local levels","Kathmandu, January 7 The  Election Commission  (EC) has released a final list of voters for the upcoming  National Assembly election. The National Assembly election will be held on January 25. Issuing a statement on Sunday, the Commission that final name lists of voters were published at the offices of election officers in all seven provinces. According to the Commission, there are a total of 549 voters from seven provincial assemblies and 1,498 voters from local levels. However, the total vote weightage from provinces (where one vote equals 53 votes) is 29,097, while from the local level (where one vote equals 53 votes), the vote accumulation is 28,462.",political
TU vice chancellor appointment process stalled,"Kathmandu, January 7 Tribhuvan University ‘s vice chancellor appointment process has been cancelled. The selection and recommendation committee formed to recommend names for the appointment of the vice-chancellor issued a notice saying that the call for applications has been withdrawn. The committee issued a notice on January 5  and called for applications for the vice-chancellor. It was withdrawn after there was a dispute about the provisions mentioned in the notice. Stakeholders protested following the notice that required a certified copy of the details of university officials who had worked for at least three years (including the specific year, month, and day) in any one of the positions. In response to the dispute, Chancellor and Prime Minister Pushpa Kamal Dahal personally directed the issuance of a new notice. The appointment process for the vice chancellor at TU will now begin only after the issuance of a revised notice.",political
Prime Minister Pushpa Kamal Dahal acquitted in contempt of court case,"Kathmandu, January 5 The  Supreme Court  acquitted Prime Minister Pushpa Kamal Dahal in the contempt of court case.  Dahal, accused of contempt due to a seven-year-old speech, was acquitted by the joint bench of justices Ishwar Prasad Khatiwada and Kumar Regmi of the Supreme Court. The full text of the judgment will be released soon. The chair of the Maoist Center, Pushpa Kamal Dahal had given a controversial statement regarding the armed conflict. Senior advocate Dinesh Tripathi and others filed a petition in the Supreme Court asking it to take action against Dahal. The hearing on the case ended in October 2023. During the May 2016 meeting of Maoist activists at City Hall, Dahal expressed that a conspiracy was unfolding against him and the party at Nepal’s courts. Expressing his frustration, he said that the court was being manipulated against the Maoists, an occurrence he perceived as continuous and pervasive. This sentiment arose during the arrest of Maoist activist Chabilal Adhikari on murder charges. In the heat of his discontent, Dahal made a controversial statement implying that the court’s actions were hindering the peace process.  In response to this statement, the then-advocate Tripathi lodged a writ petition in the Supreme Court, urging the court to initiate proceedings on charges of contempt against Dahal for his outspoken remarks.",political
TU to appoint vice-chancellor through open competition,"Kathmandu, January 5 For the first time of its kind, the government is appointing a vice-chancellor of the  Tribhuvan University  (TU) through open competition. In a notice issued on Friday, the Committee Formed to Select and Recommend the Vice-Chancellor of Tribhuvan University has invited applications from qualified individuals for the open competition. Prior to this, Prime Minister and Chancellor of Tribhuvan University, Pushpa Kamal Dahal, declared that the VC of the university would be appointed solely on merit, putting an end to  political appointments  in the nation’s largest and oldest university. The announcement from the recommendation committee aligns with the prime minister’s commitment to appoint the VC based on meritocracy. In this process, the qualifications, experiences, concept paper, and four-year-long plan of action submitted by the applicants will be thoroughly considered for the VC appointment.",political
4 deals signed during Nepal-India joint commission meeting,"Kathmandu, January 5 The seventh meeting of the  Nepal-India joint commission  concluded by signing four agreements on Thursday. The meeting reviewed the entire gamut of bilateral relations and cooperation. The two countries signed agreements relating to bilateral network expansion, trade, water resources, and power trade. The agreements were signed in the presence of Foreign Minister Narayan Prakash Saud and  Indian External Affairs Minister S Jaishankar. Spokesperson at the Foreign Ministry, Amrit Bahadur Rai, informed that Nepal and India signed an agreement on Indian grant assistance for the implementation of high-impact community development through government agencies or corporations. Other agreements signed by the two countries are – long-term energy trade; cooperation between Nepal Electricity Authority and National Thermal Power Corporation on development of renewal energy; and between Nepal Academy of Science and Technology (NAST) and New Space India (NSI) on launch of Nepali satellite. As per the power trade agreement, Nepal would export 10,000 MW of electricity to India in 10 years. Meanwhile, a 132-KV interstate transmission lines- Raxaul-Parwanipur, Mainahiya- New Nautanawa, and Kushaha-Kataiya were inaugurated on Thursday itself. The transmission lines were jointly inaugurated by Foreign Minister NP Saud and his Indian counterpart S Jaishankar. The Indian government has announced Rs 10 billion grant assistance to Nepal for its post-quake reconstruction. The Nepal-India joint commission meeting, however, did not discuss the eminent persons group, nor did it address the issue of air routes.",political
Indian Foreign Minister S Jaishankar arrives for Nepal-India Joint Commission meeting,"Kathmandu, January 4 External Affairs Minister of India Subrahmanyam Jaishankar  arrived in Kathmandu on Thursday morning to take part in the seventh meeting of the Nepal-India Joint Commission. Jaishankar was received at the Tribhuvan International Airport by Minister for Foreign Affairs NP Saud, Foreign Secretary Sewa Lamsal and other officials, according to the Ministry of Foreign Affairs. The Indian External Affairs Minister is scheduled to pay a courtesy call on the President, the Prime Minister and other political party leaders, before a bilateral meeting with his Nepali counterpart at the Nepal-India Joint Commission. He will return home tomorrow. During his visit, the agreement is likely to be signed on power trade. Ministry of Energy, Water Resources and Irrigation has confirmed that the previous agreement on  Nepal’s export of 10,000 MW electricity to India in 10 years  is being materialised with the signing of the agreement. Meanwhile, the officials have informed that three important transmission lines are being inaugurated. An agreement was reached in this connection in the course of the India visit of Prime Minister Pushpa Kamal Dahal. On the occasion, PM Dahal’s Indian counterpart Narendra Modi announced that India was going to import electricity produced in Nepal in a long-term manner. Earlier, the Cabinet of India had approved the agreement regarding power import. Secretaries of both countries are signing the memorandum of understanding during the Nepal visit of Minister of External Affairs of India S Jaishankar. It will pave the way for different government and private companies to deal with electricity by signing power purchase agreements in a short, mid and long-term manner. In the wake of the Indian External Affairs Minister’s visit to Nepal, a joint secretary (Energy Ministry) level meeting between Nepal and India decided to enhance the capacity of the Dhalkebar-Mujaffapur 400-KV interstate transmission line. The meeting further discussed speeding up the construction of the new Butwal-Gorakhpur interstate transmission line, constructing two more interstate transmission lines and intensifying mega projects.",political
