Leader Koirala to address special programme in UK Parliament,"KATHMANDU:Nepali Congress leader Dr Shekhar Koirala is addressing the UK Parliament on January 13. Leader Koirala is scheduled to address the UK Parliament amidst a special programme, according to Koirala’s Private Secretariat. The programme would be attended by Parliamentary Under-Secretary of State at the Foreign, Commonwealth and Development Office in UK, Catherine West; Parliamentary Under Secretary of State (Department for Business and Trade), Gareth Thomas , as well as other British parliamentarians. Leader Koirala is leaving for the UK on January 9 at the invitation of lawmakers Catherine and Thomas."
MC Central Committee meeting to commence Sunday,"KATHMANDU:The CPN (Maoist Centre)’s central committee meeting is to begin Sunday. Party Vice chairperson and Spokesperson Agni Prasad Sapkota informed that the political and organizational report to be presented by chairperson Pushpa Kamal Dahal ‘Prachanda’ will be discussed in the meeting to be held at the party central office, Parisdanda, from 1.00 pm Sunday. The standing committee meeting held earlier decided to submit a political report entitled ‘Commitment for Party Transformation and Reconstruction: Today’s Need’ by chair Dahal. In the beginning of the meeting, Chair Dahal is set to brief about the latest political situation and the floor will be opened for discussion. Central Office Secretary Dor Prasad Upadhya informed that the standing committee meeting will be held at 8.00 am Sunday to finalize the ‘modality’ of the central committee meeting. As informed, 409 central members and 205 alternate central members, 75 members from the party’s commissions, and 125 officials from 10 provinces including seven geographical and three non-geographical will also participate in the meeting."
Minister Lekhak instructs for result-oriented activities,"KATHMANDU: Home Minister Ramesh Lehak has instructed Chief District Officers and Security Chiefs of all districts across the country to carry out result-oriented activities amidst limited means and resources. During the virtual meeting with District Security Committees organised by the Home Ministry today, Minister Lekhak said controlling drug abuse, lessening suicide cases, and road accidents are challenging, asking them to carry out activities seriously amidst limited means and resources. “All these three issues are related to each other.  Coordination with provinces and local levels is must to reduce it”, he mentioned. The Home Minister also urged them to adopt policy of zero tolerance in border crime, poaching control and financial irregularities. Stating that the ministry has forwarded activities for legal, policy-level and structural reforms, Minister Lehak stressed, “We have serious responsibility of peace and security. Peace and security should be established for sustainability of development, prosperity and democracy. Similarly, Home Secretary Gokarna Mani Duwadi pointed out the need of paying attention in complaint-free service delivery, asking to make disaster preparedness effective."
Chair Dahal urges to take action against the guilty of Shera Durbar land scam,"KATHMANDU: Chairperson of the CPN (Maoist Centre), Pushpa Kamal Dahal ‘Prachanda’ has urged the government to take immediate action against those involved in embezzlement of Shera Durbar land located in Nuwakot district. In today’s meeting of the State Affairs and Good Governance Committee of the House of Representatives, Chair Dahal clarified that he would provide full support to bring the Shera Durbar land in the name of government. “Take action if activities were carried out against law. I will thank the government if the land of Shera Durbar is brought back like of Lalita Niwas land”, he stated. The former Prime Minister stressed the need of brining anyone involved in bringing the land of the state and government in his/her name illegally under the ambit of action, urging to take action against the guilty of other scams."
Good governance in govt.’s tip priority: Minister Lekhak,"KATHMANDU:Minister for Home Affairs, Ramesh Lekhak, has asserted that prevention of corruption and ensuring good governance are in top priority of the incumbent government. Responding to queries raised during discussion on the Bill designed to amend the Prevention of Corruption Act, 2059, in today’s meeting of the State Affairs and Good Governance Committee of the House of Representatives, Minister Lekhak shared, “The government has adopted zero tolerance against corruption and is committed to ensuring good governance.” He argued that only government formed by political parties periodically elected from the people would be capable to control corruption. “All should trust the government and they should warn if there are weaknesses”, the Home Minister mentioned. He clarified that there should not be limit for investigation into corruption cases and action against those involved in it. Home Minister Lekhak shared that the government has been seriously carrying out investigation into scam of Shera Durbar land in Nuwakot and action would be taken against the guilty. The government would not remain silent on corruption cases, and misuse of government and public property, he shared, adding the government would bring back such property at any cost."
Economic prosperity achievable thru good governance: Minister Lekhak,"KATHMANDU:Home Minister Ramesh Lekhak has stated that the government is focused on strengthening federal democracy through the effective implementation of the Constitution. While inaugurating the Digital House Number Installation based on the GPS/GIS system, initiated by Chandragiri municipality today, the Home Minister vowed the federal government’s support for the programme launched by the local government. Municipality Mayor Ghanashyam Giri highlighted that the initiative aims to transform Chandragiri into a smart city. Lawmakers Rajendra Kumar KC and Krishna Gopal Shrestha expressed their hope that this programme would contribute to the development of Chandragiri as a smart city by digitalizing local government services. Chandragiri Municipality Deputy Mayor Basanti Shrestha, Spokesperson Krishna Prasad Khadgi, and Chandragiri-15 Ward Chair Ghanashyam Luintel urged all citizens of Chandragiri to join hands with the local government efforts to digitalize its services."
Data imperative for actionable policy making: Chief Secretary Aryal,"KATHMANDU:Chief Secretary Ek Narayan Aryal has said data is imperative for ensuring formulation of actionable plans and policies. “Government, ministries and departments formulate their policies and plans based on the statistics provided by the Office of Statistics. So integrity of data and statistics need to be guaranteed with research,” he reminded. Aryal was addressing a function organized on the occasion of the National Statistics Day-2081 at National Statistics Office on Wednesday. A policy lab has also been established at Office of the Prime Minister to wipe out duplication of policies and problems in implementation, he shared, adding that right use of data make policies further effective. In the programme, Secretary at the National Planning Commission, Madhu Marasini, however, said since the National Statistics Office was under the Office of the Prime Minister, there is a problem in expanding the cooperation between the Statistics Office and the Planning Commission. “The Planning Commission needs more data because it is linked to policy and planning."
Leader Dr Rawal blasts UML’s action against him inconsistent with party statute,"KATHMANDU:CPN (UML)’s former leader Dr Bhim Bahadur Rawal has said the party’s action against him is not aligned with the party’s statute, rule of law and procedures. It may be noted that the CPN (UML) recently decided to expel Rawal from the party even with the annulment of his general membership. At a press meet organised for the first time following the party’s move, the leader accused that the party took revenge against him for his candidacy to the post of party Chair in the 11th General Convention. The former Vice Chair of the party announced that he would engage in what he called the ‘Motherland Awareness Campaign’ and move ahead based on the feedback  and sentiments of his ‘well-wishers’ ‘supporters’ and the masses. The UML’s Secretariat meeting on December 25 took the action against him.  The leader has already served as the Deputy Prime Minster, Minister for Tourism and Civil Aviation, the Minister for Home Affairs and the Minister for Defence at different times. The leader who preferred to identify himself as a ‘nationalist leader’ was the competitor for the party’s Chair post in the UML’s11th National Congress. He had obtained the party leadership in 2032 BS. As he said, since his association with the party, he remained dedicated towards the country, people, sovereignty and the party principles amidst challenges."
Newly appointed ambassadors take oath of office and secrecy,"KATHMANDU:The newly appointed five ambassadors to various countries have taken an oath of office and secrecy in the presence of President Ramchandra Paudel. In the oath-taking ceremony held at the Office of the President at Sheetal Niwas today, President Paudel administered the oath to the newly appointed ambassadors for Portugal, Malaysia, South Africa, Belgium and Denmark. Prakashmani Poudel, the Ambassador designate to Portugal; Dr Netra Prasad Timilsina, the Ambassador designate to Malaysia; Prof Dr Kapilman Shrestha, the Ambassador designate to South Africa; Sewa Lamsal, the Ambassador designate to Belgium; and Sumnima Tuladhar, the Ambassador designate to Denmark took the oath of office and secrecy before the Head of the State."
HoR Secretary Rai sworn in,"KATHMANDU:Newly appointed Secretary of the House of Representatives (HoR), the lower house of the Federal Parliament, Harka Raj Rai, has taken oath of office and secrecy today. Secretary Rai took the oath before Speaker Devraj Ghimire at a swearing-in programme organized at the meeting hall of the Agriculture, Cooperatives and Natural Resource Committee of the HoR in Singha Durbar. Deputy Speaker Indira Rana, Federal Parliament Secretariat Secretary-General Padma Prasad Pandeya, Chief Whips and Whips of the ruling and the opposition parties, lawmakers and employees of the parliament service were present on the occasion. President Ramchandra Paudel on Tuesday appointed Rai to the post of HoR Secretary on the recommendation of the Speaker. Rai is a resident of Shivasatakshi Municipality-2 in Jhapa district. The newly-appointed Secretary Rai was involved in the teaching profession for long and had been working as a trainer in various governmental and non-governmental organizations."
"Enhancing republic, need of hour: Deuba","KATHMANDU:Sher Bahadur Deuba, President of the Nepali Congress, stressed the need of strengthening the republic. In his address at a party programme here today, Deuba stated that strengthening the republic is a crucial need at this moment. Speaking at the event organised on the occasion of the National Unity and Reconciliation Day, the former Prime Minister highlighted that not only his party but also the entire Nepali population has been inspired by the national reconciliation policy, and this unity must be preserved. He also utilised the forum to urge one and all for collective efforts to thwart any attempts against the republic."
CPN to seek election symbol in view of 2084 BS election,"KATHMANDU:The Communist Party of Nepal (CPN) has decided to collaborate with political parties that share similar ideologies. This was announced during a press conference held here today to unveil the decisions of the sixth plenary session of the party’s ninth central committee, held on December 12-17. Party General Secretary Netra Bikram Chand shared that the meeting also agreed to organize a nationwide interaction to further clarify the party’s thoughts and vision. Additionally, the party plans to connect its advocacy for national independence, as well as the rights of marginalized communities, women, youth, students, and socialism, to the upcoming 2084 BS elections. Chand further stated that the party will formally register and obtain an election symbol to participate in the next general elections. The CPN will also launch a people’s mobilization campaign from Jhapa to Kanchanpur on March 5, calling on the government to take responsibility for ending corruption, controlling foreign meddling, and addressing issues such as landless squatters and usury. The party has also decided to focus on the country’s economic development, particularly through the promotion of agriculture-based industries, it is said."
President insists on due respect for labour,"KATHMANDU:President Ramchandra Paudel has stressed the need of advancing the country toward prosperity through both economic and physical development, while ensuring due respect for labor. In his address to the Labour Parliament organized by the Joint Trade Union Coordination Center (JTUCC) here today, the President stated that the nation’s development cannot be solely measured by economic and physical progress; it also encompasses a humanitarian dimension. He reflected on his own experience of working together with farmers and workers for social and economic transformations during his political career. As he asserted, justice, equitable income, and respect for labor form the foundation of national development. This concept, he said, should be the guideline for achieving sustainable development and prosperity in the aftermath of the country’s political changes. Applauding contributions of workers to the establishment of a federal democratic republic, the President highlighted that the Constitution guarantees labor rights, including collective bargaining, the freedom to form unions and associations, and social security. Stating that the country’s largest labor force is engaged in the agricultural sector, the President recalled his advocacy for commercial agriculture and agricultural reforms to improve the lives of workers during his political career. He also expressed serious concern over the escalating climate crisis, driven by encroachment on nature and disregard for humanity. The President added that women workers are particularly vulnerable to the adverse effects of climate chan"
Rai appointed HoR Secretary,"KATHMANDU:President Ramchandra Paudel has appointed Harka Raj Rai of Jhapa as the Secretary of the House of Representatives. On the recommendation of Speaker Devraj Ghimire, the Head-of-the-State  appointed Rai, a resident of Shivasatakshi Municipality-2 in Koshi Province, on the post. The appointment was made in accordance with Article 106(1) of the Constitution, according to the Office of the President."
NC’s general convention appropriate after general election,"CHITWAN:Nepali Congress leader Dr Shashank Koirala has said it was appropriate to hold party’s general convention on the scheduled date or after the general election. Talking to media persons here today, leader Koirala argued that it would not be appropriate to hold party’s general convention just ahead of the general convention. He mentioned, “The general election will take place in 2084 BS. The NC’s general convention should be held two years before the general election. Otherwise, it will be better to hold it after the general election.” Saying dissatisfaction within the party would be addressed if general convention of the party is organised on the scheduled date, he shared that there would be impact of dissatisfaction in the general election if party’s general convention is organized just ahead of the election. Leader Koirala added that he has a clear draft for the general convention, stressing the need of a leadership uniting the party ending groupism."
People’s trust towards Maoist Centre increasing: Chair Dahal,"DAMAK:CPN (Maoist Centre) Chairperson Pushpa Kamal Dahal ‘Prachanda’ has said people’s trust towards CPN (Maoist Centre) was increasing. Addressing a programme organized by Maoist Centre at Gaurigunj of Jhapa on Monday, Chair Dahal expressed the belief that the Nepali people would again support the CPN (Maoist Centre) to build the nation. He mentioned that his party became successful to get people’s attention as it won the by-election of local levels at many places defeating the ruling alliance. Welcoming different people in the party, the CPN (Maoist Centre) Chair claimed that his party was getting overwhelming supports from the Nepali people. Also the former Prime Minister, Chairman Dahal shared that all achievements including political achievement gained in the country were possible from leadership role of his party and the CPN (Maoist Centre) would again lead to protect the gained achievements and take the country towards prosperity. “We are confident that the Nepali people will support the party as there is necessity of another movement to institutionalize the federal democratic republic and to bring prosperity in the country,” he added. Chair Dahal argued that a movement once again was necessary to get economic, social and cultural rights as the country could not be strong only from political changes."
Present government is for development and prosperity: UML General Secretary,"DANG:CPN (UML) General Secretary Shanker Pokhrel has said two big parties – UML and the Nepali Congress – together formed the present government to ensure the country’s development along with political stability. Addressing a programme organized by the UML Dang Publicity and Publications Department at local Ghorahi today, he urged one and all to extend cooperation to the government which is working in favour of political stability, improvement of the economy and promotion of good governance in the country. The programme was organized to honour the newly-elected office bearers, central representatives, the provincial representatives and members of the Federation of Nepali Journalists (FNJ) Dang Chapter. Terming as untimely tune the ‘unnecessary’ comments regarding the government’s longevity by those who want to foment anarchy and turmoil in the country, he drew the attention of all sides to stand for the nation and people by extending constructive support to the government rather than merely criticizing it. “The development construction and economic aspects of the country have been affected due to the political instability. It takes some time to get the expected results in such situation. Development construction works have gained pace after the formation of this government. Let us have patience, development-construction will take momentum along with improvement in the economy,” the UML General Secretary said. He also called on the entrepreneurs to invest confidently, saying the government was ready to extend support in favour of the industrialists and businessmen. Leader Pokhrel also on the occasion said that a six-member team was carrying out works on governance reforms. Congratulating the FNJ new leadership, he drew the attention of the media for extending cooperation to and working in collaboration with the government understanding its spirit and aspirations. On the occasion, FNJ Dang Chapter president Santosh Subedi, Publication Department Chief Sangeeta Basyal, Press Chautari Dang president Prem Bahadur Ramja, among the speakers talked about the contemporary political situation of the country, and the rights and interests of the journalists."
Bhim Rawal to hold press conference on Wednesday,"KATHMANDU:Bhim Rawal who was expelled from the CPN (UML) last week, is set to hold a press conference at Karki Banquet on Wednesday. A member of Rawal’s secretariat, Govinda Duwal, informed that leader Rawal will hold a press conference to share his views and inform about the future work plan. Rawal is currently in discussions with various people at his residence in Tokha Municipality on the issue of starting a new party or how to move forward. The UML has expelled Rawal from secretariat meeting, accusing him of continuously engaging in activities that go against the party’s decisions since the 10th general convention. Similarly, Rawal has also started meeting with leaders and cadres of various parties in the far-western region."
NC President Deuba emphasizes sports for healthy body,"KATHMANDU: Nepali Congress (NC) President and former Prime Minister Sher Bahadur Deuba has highlighted the importance of sports for achieving a healthy body. Inaugurating the national assembly of democratic sportspersons and sports enthusiasts organized by the Nepal Democratic Sports Association’s national conventional central committee here today, leader Deuba asserted, “Like healthy body needs healthy mind, sports had an important role in maintaining a healthy body.” According to him, there is a large number of youth in the sports sector; sports and exercise play significant roles in their career development. He mentioned that NC had accorded top priority to the issues of youth and sports and called for an effective continuation of the President Running Shield that is being conducted in various parts of the country. Similarly, Minister for Youth and Sports Tejulal Chaudhary shared that discussions were underway to make necessary arrangements for budget starting from the upcoming fiscal year to support education for the sportspersons who have shed sweats for the country. Underscoring the importance of discipline in sports, he cautioned to take action against any sports associations not abiding by rules and regulations. Also speaking in the inaugural programme, NC leader Mohan Bahadur Basnet urged party cadres and leaders to gear up to organize the party’s national convention within the mid-April, 2025. Nepal Democratic Sports Association’s President Devendra Kumar Sherchan pledged to play its ‘part’ to putting an end to aberration and anomalies in the sports sector. Present in the programme were NC leaders and office-bearers of various sports organizations. —"
Revolution needed to bring transformation in people’s lives: PM Oli,"PARSA:Prime Minister KP Sharma Oli has said a next level of revolution, though not a political one, is needed in the country to bring transformations in people’s lives. In his address to a CPN (UML) programme at Sakhuwa Prasauni in Parsa today, the Prime Minister and party Chair  said the incumbent government is committed to bringing positive changes in the lives of people along with the nation’s development. “Revolution is essential, but we are not talking about a political revolution” he said, adding that the government gives priority to empower citizens. As he said, production and entrepreneurship are also the priorities of his government.  He also urged the public not to doubt on the government efforts to achieve prosperity and good governance. PM Oli said that he had given importance to the construction of 13 modern cities along the Postal Highway, of the Sunkoshi Marin Diversion, entrepreneurship, increasing agricultural production and income when he was the Prime Minister in the past, reiterating that these works will be expedited again now. According to the PM, the Town Hospital at Pokhariya of Parsa has been upgraded and the service centre of the Land Survey and Land Revenue Office has been set up as per the demand of the locals. He gave assurances that a Area Administration Office will also be established soon. Also the UML Chair, PM Oli, urged the local party leadership for the maximum mobilization of women and youths for reaching to the people. At the programme, the rural municipality’s former chairman Pradip Jayaswal and people from other parties joined the UML."
‘Beautiful and prosperous Nepal our common motto: PM Oli,"KATHMANDU:Prime Minister KP Sharma Oli has said that making a ‘beautiful, peaceful and prosperous’ Nepal was the common motto of all Nepalis. At a programme organized by the CPN (UML) to welcome different personalities in the UML today, PM Oli, also the Chairperson of the party, argued that although the interests of people vary based on their professions, their common goal is to build a prosperous Nepal. Appreciating the choice of the new cadres entering the UML party, he said, “You have made the right choice. You should be a model for others.” He viewed that all those entering the party had become a family having a common goal. He opined that the party cadres and leaders alike should establish the fact that Nepal is a country of the talents. The septuagenarian leader further motivated the new entrants, “Old records are to be broken, New records are to be set. We should protect ourselves from various treacherous activities that could instigate youths.” He also urged the newcomers to lead a realistic and truthful lifestyle and focus on delivering the best results. Party Chairperson Oli welcomed outgoing National President of Nepal Jaycees Rabin Pokharel and other youths including Bibha Basnet, Shivani Gautam, Gayatri BC among others. Pokharel and Basnet admitted that they wanted to contribute to visionary party Chairperson Oli’s nation-building resolution and thus joined the party. The programme was attended by UML Deputy General-Secretary Bishnu Prasad Rimal, organization department’s Chief Kashinath Adhikari and leader Bhanu Bhakta Acharya among others. —"
DPM Singh insists on nature-friendly development endeavours,"KATHMANDU:Deputy Prime Minister and Minister for Urban Development, Prakash Man Singh, has called for preserving nature while pursuing development efforts. Inaugurating the construction of an administrative building for Solu Dudhkunda Municipality today, the Minister urged one and all to avoid haphazard development and to preserve the environment. “Many incidents have clearly shown that development must be nature-friendly,” the Deputy Prime Minister said. Describing Solukhumbu as a major tourist destination, he recalled his visit to the area 40 years ago with his father, the late leader Ganesh Man Singh. “I have observed significant changes in development here, both then and now,” he added. The Deputy Prime Minister also took the opportunity to say that political parties are currently working on plans to amend the Constitution in order to further empower citizens. Municipality Mayor Namgel Jangbu Sherpa stated that the project, funded by local resources, will be completed within the next two years. Defence Minister Man Bahadur Rai was also present at the event."
Dr Shekhar Koirala stresses on everyone’s support to make government successful,"DHANUSHA:Nepali Congress leader Dr Shekhar Koirala has said that all parties need to work responsibly to make the current government successful. In a press conference held in Janakpurdham today, he said that the current government was formed according to the spirit of the constitution and that this government will be successful. Leader Koirala further mentioned that the current government was formed after an agreement between the Nepali Congress and the CPN (UML) when political instability was creating obstacles to the development of the country. He said, “If the present government fails, the country may go towards anarchy. Therefore, the current government should be made successful at any cost.” Dr Koirala mentioned that the Congress is ready to fight alone in the upcoming elections and asserted that there is no misunderstanding within the party. —"
