formatted_article,nepali_summary
"""केन्द्रीय बैंकले सरकारले तदर्थ रुपमा घोषणा गरेको बिदाको समयमा बैंक तथा वित्तीय संस्था खुला राख्न निर्देशन दिएको छ ।  नेपाल राष्ट्र बैंकले सबै वर्गका बैंक तथा वित्तीय संस्थाबिहान १० बजेदेखि दिउँसो १ः३० बजेसम्म खुला रहने व्यवस्था गरेको छ ।  यद्यपि, यो सेवा नगद कारोबार, चेक क्लियरेन्स र रियल टाइम ग्रस सेटलमेन्ट सिस्टम जस्ता अत्यावश्यक बैंकिङ सुविधामा मात्र सीमित रहनेछ । यसअघि सरकारले तदर्थका आधारमा बिदा घोषणा गरेसँगै केन्द्रीय बैंकले पनि ती दिनहरूमा वित्तीय संस्थाहरू खुला रहनका लागि तदर्थ निर्देशन जारी गर्ने गरेको थियो ।""","नेपाल राष्ट्र बैंकले बैंक तथा वित्तीय संस्थालाई तदर्थका आधारमा घोषणा गरिएको सरकारी बिदाको समयमा बिहान १० बजेदेखि दिउँसो १ः३० बजेसम्म खुला राख्न निर्देशन दिएको छ । नगद कारोबार, चेक क्लियरेन्स र रियल टाइम ग्रस सेटलमेन्ट सिस्टम जस्ता अत्यावश्यक बैंकिङ सुविधामा मात्र सेवा सीमित रहनेछ । यो यस्तो छुट्टीको लागि अघिल्लो तदर्थ निर्देशनहरू पछ्याउँदछ।"
"""काठमाडौँ र ललितपुरमा बर्डफ्लुको सङ्क्रमण देखिएको केही सातापछि भक्तपुरमा बर्डफ्लु देखिएको छ ।  चाँगुनारायण नगरपालिका–८ सुडालस्थित तीन वटा पोल्ट्री फार्मका कुखुरामा रोग पुष्टि भएपछि बुधबार १० हजार ४८० कुखुरा, एक हजार ५० चल्ला, चार हजार ५२३ अण्डा र एक हजार ४७५ किलो कुखुराको दाना नष्ट गरिएको पशु सेवा विभागले जनाएको छ ।  महानगरीय प्रहरी परिसर भक्तपुरका प्रहरी उपरीक्षक प्रजित केसीका अनुसार चाँगुनारायण पोल्ट्री एण्ड ह्याचरी उद्योग प्रालि, अर्जुन गिरी पोल्ट्री फार्म र आदित्य पोल्ट्री फार्ममा बर्डफ्लु देखिएको हो ।  पशुसेवा विभागकी पशु चिकित्सक डा. श्रीजा वाग्लेका अनुसार एक्कासि कुखुरा मर्न थालेपछि गरिएको नमूना परीक्षणका क्रममा तीनवटा फार्मका कुखुरामा सङ्क्रमण देखिएको हो ।""","काठमाडौं र ललितपुरमा फैलिएको बर्डफ्लु भक्तपुरमा देखिएको छ । चाँगुनारायण नगरपालिकाको सुडालस्थित तीन वटा पोल्ट्री फार्मका कुखुरामा यो रोग पुष्टि भएको हो । रोगले १० हजार ४८० कुखुरा, एक हजार ५० चल्ला, चार हजार ५२३ अण्डा र एक हजार ४७५ किलो कुखुराको दाना नष्ट गरेको छ । एक्कासि कुखुरा मर्न थालेपछि नमूना परीक्षणका क्रममा यो प्रकोप देखिएको हो ।"
"""काठमाण्डाै – सरकारले दूधको मूल्य प्रतिलिटर रु १० ले वृद्धि गर्ने तयारी गरेको छ । राष्ट्रिय दुग्ध विकास बोर्डले सातै प्रदेशमा गरेको अध्ययनले प्रतिलिटर दूधको उत्पादन लागत रु १४ सम्म वृद्धि भएको पाइए पनि सरकारले रु १० मात्र मूल्य वृद्धि गर्न सिफारिस गरेको बोर्डले जनाएको छ । बोर्डले गत साता कृषि तथा पशुपन्छी विकास मन्त्रालयमा सिफारिससहितको अध्ययन प्रतिवेदन बुझाएको थियो । बोर्डका कार्यकारी निर्देशक बालक चौधरी भन्छन्, ""किसानलाई बचाउनका लागि सिफारिस गरेका हौँ । गत वर्ष पनि सरकारले गत फागुनमा दूधको मूल्य बढाएको थियो ।""",नेपाल सरकारले दूधको मूल्य प्रतिलिटर १० रुपैयाँ बढाउने तयारी गरेको छ । राष्ट्रिय दुग्ध विकास बोर्डको एक अध्ययनले उत्पादन लागत १४ रुपैयाँसम्म बढेको देखाएको छ तर मूल्य १० रुपैयाँमात्र बढाउन सुझाव दिएको छ । बोर्डले कृषि तथा पशुपन्छी विकास मन्त्रालयलाई प्रतिवेदन बुझाएको हो । सरकारले गत वर्ष फागुनमा दूधको मूल्य बढाएको थियो ।
"""नेपाल विद्युत् प्राधिकरणका कार्यकारी निर्देशक कुलमान घिसिङले नेपाल र भारतबीच हालै सम्पन्न बैठकले दुई देशबीचको ऊर्जा व्यापारमा कोसेढुङ्गा सावित भएको बताउनुभएको छ ।  नेपाल–भारत ऊर्जा सचिवस्तरीय संयुक्त निर्देशक समितिको १०औँ बैठकले दुई देशबीच विद्युत् प्रसारण लाइन विस्तार र व्यापार विस्तारका सम्बन्धमा महत्वपूर्ण निर्णय गरेको छ । अधिकारीहरुका अनुसार अब नेपालले सरकार–सरकारबीचको सम्झौताका लागि भारत सरकारलाई प्रस्ताव पठाउनेछ, जसका आधारमा भारतले ठोस निर्णय लिनेछ । घिसिङका अनुसार भारत हुँदै बंगलादेशमा विद्युत् निर्यात गर्ने नेपालको प्रस्तावप्रति पनि भारत सकारात्मक छ । नेपालले जलविद्युत् आयोजनाको नाम टुङ्गो लगाएपछि यस विषयमा अन्तिम निर्णय हुनेछ । शुक्रबारसम्म भारतको राजस्थानमा भएको बैठकमा नेपाली प्रतिनिधिमण्डलको नेतृत्व ऊर्जा सचिव दिनेशकुमार घिमिरेले गरेका थिए ।""","नेपाल विद्युत् प्राधिकरणका कार्यकारी निर्देशक कुलमान घिसिङले नेपाल र भारतबीच हालै सम्पन्न बैठकले ऊर्जा व्यापारमा कोसेढुङ्गा हासिल गरेको बताउनुभएको छ । संयुक्त सञ्चालक समितिको १०औँ बैठकले विद्युत् प्रसारण लाइन विस्तार र व्यापार विस्तारसम्बन्धी महत्वपूर्ण निर्णय गरेको छ । अब नेपालले सरकार–सरकारबीचको सम्झौताका लागि भारत सरकारलाई प्रस्ताव पठाउनेछ, जसका आधारमा भारतले ठोस निर्णय गर्नेछ ।"
"""आइएमई डिजिटल सोलुसन लिमिटेड (आइएमई पे) र नेपाल क्लियरिङ हाउस लिमिटेड (एनसीएचएल) बीच नेशनल पेमेन्ट स्विचका लागि नेपालपे क्यूआर, नेपालपे इन्स्ट्यान्ट, नेपालपे रिक्वेस्ट लगायतका खुद्रा भुक्तानी स्विचका लागि टोकनाइजेसन र बिलर गेटवे लगायतका विभिन्न उपकरण तथा प्रयोग का लागि सम्झौता भएको छ ।  सम्झौतापत्रमा आइएमई पेका प्रमुख कार्यकारी अधिकृत प्रवीण रेग्मी र एनसीएचएलका प्रमुख कार्यकारी अधिकृत नीलेशमान सिंह प्रधानले हस्ताक्षर गरेका छन् । आईएमई पेले एनपीएस अन्तर्गत एकाउन्ट टोकनाइजेसनको सुविधा प्रदान गर्नेछ, त्यसपछि आईएमई पे वालेट प्रयोगकर्ताले आफ्नो बैंक खाता वालेटसँग लिंक गर्न सक्नेछन् । त्यस्तै, आरपिएसमा उपलब्ध सबै सेवाविस्तारका लागि बिलर गेटवेलाई पनि सक्षम बनाउनेछ । आइएमई डिजिटल सोलुसन लिमिटेड आफ्नो एप 'आइएमई पे' मार्फत डिजिटल भुक्तानी सेवा प्रदान गर्ने नेपालको पहिलो इजाजतपत्र प्राप्त कम्पनी हो ।""","आइएमई डिजिटल सोलुसन लिमिटेडले नेपाल क्लियरिङ हाउस लिमिटेड (एनसीएचएल) सँग सहकार्य गरी नेपालपे क्यूआर, नेपालपे इन्स्ट्यान्ट र नेपालपे रिक्वेस्ट लगायत विभिन्न खुद्रा भुक्तानी स्विच इन्स्ट्रुमेन्टहरु सञ्चालनमा ल्याएको छ । सम्झौतापत्रमा आइएमई पेका प्रमुख कार्यकारी अधिकृत प्रवीण रेग्मी र एनसीएचएलका प्रमुख कार्यकारी अधिकृत नीलेशमान सिंह प्रधानले हस्ताक्षर गरेका छन् ।"
"""सरकारले आगामी आर्थिक वर्ष २०७७/७८ को बजेटको अर्धवार्षिक समीक्षा गर्दै २ खर्ब ४४ अर्ब रुपैयाँ खर्च गर्ने लक्ष्य राखेको छ । पूर्वअर्थमन्त्री जनार्दन शर्माले आगामी आर्थिक वर्षका लागि १७ खर्ब ९३ अर्ब को वार्षिक बजेट प्रस्तुत गरेका थिए भने उनका उत्तराधिकारी विष्णु पौडेलले आइतबार प्रतिनिधिसभामा उक्त योजनाको मूल्य घटाएर १५ खर्ब ४९ अर्ब रुपैयाँमा झारेका थिए । यो यसअघि घोषणा गरिएको आकारभन्दा १४ प्रतिशत कम हो । उपप्रधान तथा अर्थमन्त्री पौडेलले खर्चको लक्ष्यसँगै राजस्व संकलनको लक्ष्य १४ खर्ब ३० अर्बबाट घटाएर १२ खर्ब ४४ अर्ब मा झारेका छन् । अर्थमन्त्री पौडेलले सरकारले वार्षिक बजेटमा राखेको आठ प्रतिशतको आर्थिक वृद्धिको लक्ष्य पूरा गर्न नसकेको स्वीकार गरे ।""",नेपाल सरकारले आर्थिक वर्ष २०७७/७८ को वार्षिक बजेट २ खर्ब ४४ अर्ब रुपैयाँले घटाएर १७ खर्ब ९३ अर्ब रुपैयाँबाट घटाएर १५ खर्ब ४९ अर्ब रुपैयाँमा झारेको अर्धवार्षिक समीक्षामा उल्लेख छ । बजेट योजनाको मूल्य पनि १४ खर्ब ३० अर्बरुपैयाँबाट घटाएर १२ खर्ब ४४ अर्ब रुपैयाँमा झारिएको छ । सरकारले राजस्व संकलनको लक्ष्य १४ खर्ब ३० अर्बरुपैयाँबाट घटाएर १२ खर्ब ४४ अर्ब रुपैयाँमा झारेको छ । सरकारले वार्षिक ८ प्रतिशतको आर्थिक वृद्धिको लक्ष्य हासिल गर्न नसक्ने स्वीकार ेको छ ।
"""सरकारले विदेशमा सञ्चालित सबै दूतावासमा श्रम सहायता कक्ष स्थापना गर्ने निर्णय गरेको छ ।  प्रधानमन्त्री पुष्पकमल दाहाल 'प्रचण्ड'को निर्देशनमा श्रम, रोजगार तथा सामाजिक सुरक्षा मन्त्रालयले सो निर्णय गरेको मन्त्रालयका सचिव एकनारायण अर्यालले जानकारी दिए ।  गत माघको तेस्रो साता प्रधानमन्त्री दाहालले सचिव अर्यालसहित मन्त्रालयका अधिकारीलाई बोलाएर विदेशमा रहेका नेपाली कामदारले भोग्नुपरेका समस्या समाधानका लागि सशक्त पहल गर्न आग्रह गरेका थिए ।""",प्रधानमन्त्री पुष्पकमल दाहाल 'प्रचण्ड'को निर्देशनपछि सरकारले विदेशमा सञ्चालित सबै दूतावासमा श्रम सहायता कक्ष स्थापना गर्ने निर्णय गरेको छ । वैदेशिक रोजगारीमा जाने नेपालीकामदारले भोग्नुपरेका समस्या समाधानका लागि सशक्त पहल गर्न दाहालले आह्वान गरेपछि गत जनवरीमा उक्त निर्णय गरिएको थियो ।
"""रिभ्याम्प नेपाल २०२३ को पाँचौ संस्करण यही माघ २८ गते शनिबार काठमाडौंको ठमेलस्थित छायाँ सेन्टरमा आयोजना हुने भएको छ । फाइब्रो नेपाल र आइडियाजर डिजिटलको संयुक्त आयोजना तथा नबिल बैंक तथा अन्य संस्थासँगको सहकार्यमा आयोजना हुने उक्त कार्यक्रममा ७० भन्दा बढी स्टार्टअप भेन्चरहरु एकै मञ्चमा प्रस्तुत हुनेछन् । सन् २०२१ को सुरुमा महामारीका कारण थला परेको नेपाली अर्थतन्त्रको पुनरुत्थानमा सहयोग पु¥याउने उद्देश्यले पहिलो पटक परिकल्पना गरिएको यो कार्यक्रम सन् २०२१ को फेब्रुअरी, अगष्ट २०२१, अप्रिल २०२२ र सेप्टेम्बर २०२२ मा आयोजना हुँदै आएको छ । यस वर्षको इभेन्टले सहभागीहरुलाई सम्भावित ग्राहकहरु, ग्राहकहरु र साझेदारहरुसँग प्रत्यक्ष रुपमा जोडिन र अन्तरक्रिया गर्न र आफ्ना उत्पादन तथा सेवाहरुको प्रबद्र्धन गर्न मद्दत गर्ने प्लेटफर्म प्रदान गर्नेछ । यो एक नि: शुल्क कार्यक्रम हो, जुन बिहान १०:३० बजे र साँझ ६:३० सम्म सुरु हुन्छ।""","फाइब्रो नेपाल र आइडियाजार डिजिटलको संयुक्त आयोजनामा आगामी फागुन १५ गते काठमाडौंको ठमेलस्थित छाया ँ सेन्टरमा 'रिभ्याम्प नेपाल २०२३' हुने भएको छ । नेपाली अर्थतन्त्रको पुनरुत्थानका लागि विगतका वर्षहरूमा आयोजना हुँदै आएको यस कार्यक्रममा एउटै प्लेटफर्ममा ७० भन्दा बढी स्टार्टअप भेन्चरहरू हुनेछन् । कार्यक्रम, जुन नि: शुल्क छ, सहभागीहरूलाई सम्भावित ग्राहकहरू, ग्राहकहरू र साझेदारहरूसँग जडान गर्न अनुमति दिन्छ, उनीहरूको उत्पादन हरू र सेवाहरूको प्रचार गर्दछ।"
"""काठमाण्डाै – सरकारले मोटरसाइकल तथा स्कुटर धनीलाई आफ्नो सवारी साधन सञ्चालन गर्दा लाग्ने बक्यौता कर चैत १५ गतेभित्र बुझाउन आग्रह गरेको छ । यातायात व्यवस्था कार्यालय (मोटरसाइकल) ले बुधबार एक सूचना जारी गरी आर्थिक वर्ष २०७५/७६ देखि २०७५/७६ सम्मको बक्यौता कर तिर्न आग्रह गरेको हो । कार्यालयले मोटरसाइकल चालक र स्कुटर चालकलाई बक्यौता रकम तिर्न र ट्राफिक प्रहरीले जफत गरेका सवारी साधन फिर्ता लिन समेत भनेको छ । कार्यालयले दुईपाङ्ग्रे सवारी साधनको कर नतिरेका मोटरसाइकल तथा स्कुटर धनीको खोजी गरी कडाइका साथ भुक्तानी गर्न सम्बन्धित स्थानीय तहसँग सहकार्य गरिरहेको जनाएको छ ।""",सरकारले आर्थिक वर्ष २०७५/७६ देखि २०७५/७६ को बक्यौता कर चैत १५ गतेभित्र बुझाउन मोटरसाइकल तथा स्कुटर व्यवसायीलाई आग्रह गरेको छ । यातायात व्यवस्था कार्यालय (मोटरसाइकल) ले पनि मोटरसाइकल तथा स्कुटर चालकलाई बक्यौता रकम बुझाउन र जफत गरिएका सवारी साधन फिर्ता गर्न निर्देशन दिएको छ । कार्यालयले यी करहरूको कडाइका साथ भुक्तानी गर्न स्थानीय सरकारहरूसँग साझेदारी गरिरहेको छ।
"""काठमाडौं– नेपाल आयल निगमले इन्धनको मूल्य समायोजनमा फेरि एकपटक दोहोरो मापदण्ड देखाएको छ।  इन्डियन आयल कर्पोरेसन (आइओसी) ले पठाएको मूल्य वृद्धि भएको भन्दै निगमले पेट्रोलियम पदार्थ कम मूल्यमा खरिद गरेपछि निगमले पेट्रोलियम पदार्थको मूल्य घटाउन अस्वीकार गरेको हो । निगमको सोमबारको निर्णयअनुसार खाना पकाउने ग्यास र हवाई इन्धनको मूल्यमा कुनै परिवर्तन गरिएको छैन । गत वर्ष पनि निगमले घाटाको कारण देखाउँदै इन्धनको मूल्य घटाउन अस्वीकार गरेको थियो तर सन् २०२२ को डिसेम्बरको उत्तरार्धमा र यस वर्षको जनवरीको सुरुमा मूल्य समायोजन गर्न सहमति जनाएको थियो ।""","इन्धन वितरणमा एकाधिकार जमाएको नेपाल आयल निगमले गत साता पेट्रोलियम पदार्थ कम मूल्यमा खरिद गर्दा घाटा भएको भन्दै मूल्य घटाउन विरोध गरेको छ । तर, अहिले इन्डियन आयल कर्पोरेसन (आइओसी) ले पठाएको मूल्य वृद्धिको कारण देखाउँदै निगमले मूल्य वृद्धि गरेको छ । निगमले खाना पकाउने ग्यास र हवाई इन्धनको मूल्यमा परिवर्तन गरे पनि सन् २०२२ को डिसेम्बरदेखि इन्धनको मूल्य घटाएको छैन ।"
"""काठमाण्डाै – काठमाडौँ उपत्यकाका तीन स्थानमा काठमाडौँको रामकोट र तारकेश्वर तथा ललितपुरको खुमलटारमा बर्डफ्लु देखिएको छ ।  कृषि तथा पशुपन्छी व्यवस्था मन्त्रालयका एक अधिकारीका अनुसार खुमलटारस्थित नेपाल कृषि अनुसन्धान परिषद् (नार्क) ले सञ्चालन गरेको पोल्ट्री फार्ममा एचफाइभएनवान को पहिलो केस देखिएको हो । अधिकारीका अनुसार फार्म केही सानो भएकाले प्रभावित पक्षीलाई यसअघि नै मारिसकिएको छ ।  त्यसपछि नागार्जुन नगरपालिका–६ रामकोटको एक खेत र तारकेश्वरको एक खेतमा संक्रमण देखिएको थियो । रामकोटमा प्रभावित चरा र अण्डा नष्ट भइसकेको छ भने तारकेश्वरमा अझै पनि अण्डा नष्ट हुन बाँकी छ । गत वर्ष यही मौसममा काठमाडौँको तारकेश्वर नगरपालिकामा यो रोग देखिए पनि तत्काल नियन्त्रणमा लिइएको थियो ।""","काठमाडौँ उपत्यकाका रामकोट, तारकेश्वर र खुमलटारमा बर्डफ्लु देखिएको छ । पहिलो घटना खुमलटारको एक पोल्ट्री फार्ममा फेला परेको थियो र प्रभावित पक्षीलाई मारेको छ । नागार्जुन नगरपालिका–६ रामकोटमा दोस्रो र तारकेश्वरमा एक जनामा सङ्क्रमण देखिएको छ । तारकेश्वरमा अहिले पनि हत्याको प्रक्रिया बाँकी छ । गत वर्ष तारकेश्वर नगरपालिकामा यो रोग देखिए पनि चाँडै नियन्त्रणमा आएको थियो ।"
"""नेपाल टेलिकमको नामले परिचित नेपाल दूरसञ्चार कम्पनीले आइतबारदेखि फाइभजी सेवाको परीक्षण शुरु गरेको जनाएको छ । कम्पनीको १९ औं वार्षिकोत्सवको अवसर पारेर यो परीक्षण सुरु गरिएको हो ।  तर, प्रारम्भिक चरणमा २,६०० मेगाहर्जको फ्रिक्वेन्सी भएको कनेक्सनसँग मिल्ने पर्याप्त डिभाइस जनतासँग नभएको कम्पनीको तर्कका कारण कम्पनीका कर्मचारीबीच मात्र परीक्षण गर्न लागिएको हो ।  सोही कारण देखाउँदै कम्पनीले यसअघि फाइभजी सेवाको परीक्षण गर्ने आफ्नो योजना स्थगित गरेको थियो । यद्यपि, एक अधिकारीका अनुसार यो परीक्षण विस्तारै सर्वसाधारणमा विस्तार हुँदै जानेछ । विस्तृत विवरण यहाँ पढ्नुहोस्""","नेपाल टेलिकमले आफ्नो १९ औँ वार्षिकोत्सवको अवसरमा आफ्ना कर्मचारीलाई केन्द्रित गरी फाइभजी सेवाको परीक्षण शुरु गरेको छ । प्रारम्भिक चरण 2,600 मेगाहर्ट्ज जडानको साथ संगत उपकरणहरूको अभावको कारण सञ्चालन गरिएको छ। कम्पनीले यसअघि अपर्याप्त उपकरणका कारण परीक्षण स्थगित गरेको थियो । यो परीक्षण क्रमशः सर्वसाधारणमा विस्तार हुँदै जानेछ ।"
"""काठमाण्डाै – काठमाडौँ महानगरपालिकाले ५८१ जना सडक बिक्रेतालाई कारवाही गरेको जनाएको छ । चालू आर्थिक वर्षको पहिलो ६ महिना (२०७७ असार देखि २०७७ पुस मसान्तसम्म) नगर प्रहरीले उनीहरुलाई कारवाही गरेको प्रहरी प्रमुख राजुनाथ पाण्डेले जानकारी दिए ।  पैदल यात्री र अन्य अनाधिकृत स्थानमा सवारी साधन पार्किङ गर्ने सात हजार ७३५ मोटरसाइकल चालकलाई पनि प्रहरीले जरिवाना गरेको पाण्डेले बताए ।  यो ६ महिनामा राजधानीको स्थानीय सरकारले ९ हजार ८ सय ८५ वटा अवैध साइनबोर्ड हटाएको, सार्वजनिक सम्पत्ति अतिक्रमण गर्ने ३२ वटा संरचना भत्काएको छ भने ५२ वटा बेसमेन्ट पार्किङ सुविधा सञ्चालनमा ल्याएको छ ।""","काठमाडौँ महानगरपालिकाले अनाधिकृत स्थानमा पार्किङ गर्ने ५८१ सवारी चालकलाई कारवाही गरेको छ भने सात हजार ७३५ मोटरसाइकल चालकलाई जरिवाना गरेको छ । चालू आर्थिक वर्षको पहिलो ६ महिनामा प्रहरीले ९ हजार ८ सय ८५ वटा अवैध साइनबोर्ड हटाएको, ३२ वटा संरचना भत्काएको र ५२ वटा बेसमेन्ट पार्किङ सञ्चालनमा ल्याएको छ ।"
"""काठमाडौं– नेपाल राष्ट्र बैंकका प्रथम गभर्नर हिमालयशम्शेर राणाको निधन भएको छ। उनी ९५ वर्षका थिए । काठमाडौंको नर्भिक अस्पतालमा उपचाररत रानाको आइतबार बिहान ६ः३० बजे निधन भएको नर्भिक अस्पतालले जनाएको छ । राणाले नै दुई देशका मुद्राबीचको स्थायी विनिमय दर १:१.६ कायम गर्न भारतसँग वार्ता गरेका थिए । यसैबीच उनले जापानमा नेपाल राष्ट्र बैंकको बैंक खाता खोलेर दुई देशबीचको व्यापारलाई सहज बनाएका छन् । उनलाई जापान सरकारको अर्डर अफ द राइजिङ सन, गोल्ड एण्ड सिल्भर अवार्डबाट पनि सम्मानित गरिएको थियो ।  केन्द्रीय बैंकबाट अवकाश पाएपछि राणाले आफूलाई उद्योगपति बनाए र गोर्खा ब्रुअरी, हिमालयन डिस्टिलरी र हिमालयन बैंक स्थापना गरे ।""","नेपाल राष्ट्र बैंकका प्रथम गभर्नर हिमालयशम्शेर राणाको ९५ वर्षको उमेरमा निधन भएको छ । राणाले भारतसँग स्थायी विनिमय दर तोक्न वार्ता गरी जापानमा नेपाल राष्ट्र बैंकको बैंक खाता खोलेका थिए । उनलाई जापान सरकारको अर्डर अफ द राइजिङ सन र गोल्ड एण्ड सिल्भर अवार्डबाट सम्मानित गरिएको थियो । अवकाशपछि राणा उद्योगपति बने र गोर्खा ब्रुअरी, हिमालयन डिस्टिलरी र हिमालयन बैंक स्थापना गरे ।"
"""नेपाल राष्ट्र बैंकले अबदेखि बैंक तथा वित्तीय संस्थाले अन्य बैंकको एटिएम प्रयोग गरी अन्य बैंकको खाताबाट रकम झिक्दा प्रतिकारोबार १५ रुपैयाँसम्म शुल्क लिन सक्ने जनाएको छ । यसअघि दुई पटक सम्म निःशुल्क कारोबार गरेपछि प्रति कारोबार अधिकतम २० रुपैयाँ कायम गरिएको थियो । नेपाल राष्ट्र बैंकको भुक्तानीसम्बन्धी नयाँ एकीकृत निर्देशिकामा भने अन्य बैंकका एटिएम प्रयोग गर्दा निःशुल्क कारोबार गर्न सकिने व्यवस्था छैन ।  यसको अर्थ ग्राहकले एक पटक पनि अन्य बैंकका डिभाइस प्रयोग गरे पनि शुल्क लाग्नेछ । यसैबीच, केन्द्रीय बैंकले डिजिटल कारोबारको अधिकतम सीमा पनि बढाएको छ । विवरण तल दिइएको छ:""",नेपाल राष्ट्र बैंकले अन्य बैंकको एटिएम प्रयोग गरी खाताबाट रकम झिक्न बैंक तथा वित्तीय संस्थाका लागि अधिकतम शुल्क बढाएको छ । भुक्तानीसम्बन्धी नयाँ एकीकृत निर्देशिकामा निःशुल्क कारोबार गर्न नपाइने भएकाले ग्राहकले एकपटक अन्य बैंकका उपकरण प्रयोग गरे पनि शुल्क लाग्नेछ । बैंकले डिजिटल कारोबारको अधिकतम सीमा पनि बढाएको छ ।
"""नेपाल नागरिक उड्डयन प्राधिकरणका अनुसार सन् २०२२ मा काठमाडौँ विमानस्थलले ३४ लाख ८० हजार यात्रुलाई सहज बनाएको छ । प्राधिकरणको तथ्याङ्कअनुसार सन् २०२२ को जनवरीदेखि डिसेम्बरसम्म त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट १५ लाख ५६ हजार ८११ र १९ लाख ३१ हजार ५१७ यात्रु त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट बाहिरिएका छन् । यो संख्यामा नेपाली र विदेशी दुवैले आफ्नो अन्तर्राष्ट्रिय यात्राका लागि देशको सबैभन्दा व्यस्त विमानस्थल प्रयोग गर्ने गरेका छन् । सन् २०२२ मा काठमाडौं विमानस्थलबाट यात्रा गर्ने अन्तर्राष्ट्रिय यात्रुको संख्या सन् २०२१ (१० लाख ४५ हजार ९२९) को तुलनामा २.५ गुणा बढी हो । सन् २०२२ मा यस विमानस्थलमा १२ हजार १५८ अन्तर्राष्ट्रिय उडान अवतरण र १२ हजार १५४ उडान भएका थिए ।""","नेपालको काठमाडौँ विमानस्थलले सन् २०२२ मा ३४ लाख ८० हजार अन्तर्राष्ट्रिय यात्रुको यात्रालाई सहज बनाएको छ, जसमा १० लाख ५५ हजार ८११ अन्तर्राष्ट्रिय यात्रु आएका छन् भने १० लाख ९३१ हजार ५१७ जना बाहिरिएका छन् । यो संख्यामा अन्तर्राष्ट्रिय यात्राका लागि देशको सबैभन्दा व्यस्त विमानस्थल प्रयोग गर्ने नेपाली र विदेशी दुवै रहेका छन् । कोभिड महामारीका बावजुद सन् २०२१ को तुलनामा सन् २०२२ मा अन्तर्राष्ट्रिय यात्रुको संख्या २.५ गुणा बढी छ ।"
"""काठमाण्डाै – संसद् भवन अगाडि आत्मदाह गरेका प्रेमप्रसाद आचार्यको मृत्युप्रकरणमा काठमाडौँ प्रहरीले अनुसन्धान शुरु गरेको छ । आचार्यले लामो फेसबुक पोष्टमा आफूले आपूर्ति गरेको सामानको पैसा नतिरेर ठगी गरेको भन्दै विभिन्न व्यवसायीको नाम लिएपछि जिल्ला प्रहरी परिसर काठमाडौंले अनुसन्धान सुरु गरेको हो । भाट–भटेनी सुपरमार्केट र डिपार्टमेन्टल स्टोरका अध्यक्ष मीनबहादुर गुरुङलाई सोमबार प्रहरीले बोलाएर सोधपुछ गरेको थियो । प्रहरीले फेसबुकपोस्टमा उल्लेख ित अन्य व्यापारीसँग पनि सोधपुछ जारी राख्ने बताएको छ ।""",संसद भवन अगाडि आत्मदाह गरेका प्रेमप्रसाद आचार्यको मृत्युबारे प्रहरीले अनुसन्धान गरिरहेको छ । आचार्यको फेसबुक पोष्टमा विभिन्न व्यवसायीले आफूले आपूर्ति गरेको सामानको पैसा नतिरेर ठगी गरेको आरोप लगाइएको छ । जिल्ला प्रहरी परिसरले भाट–भटेनी सुपरमार्केट एण्ड डिपार्टमेन्टल स्टोरका अध्यक्ष मीनबहादुर गुरुङलाई बोलाएर सोधपुछ गरेको छ ।
